brand,name,reviews.rating,reviews.text,reviews.title,combined_text,keyword_pos_great,keyword_pos_nice,keyword_pos_delicious,keyword_pos_excellent,keyword_pos_awesome,keyword_pos_fantastic,keyword_pos_favorite,keyword_pos_love,keyword_neg_isn,keyword_neg_never,keyword_neg_mistake,keyword_neg_disappointed,keyword_neg_not,keyword_neg_bad,keyword_neg_risk,keyword_neg_,review_label,sentiment_score,rating_label,matched_label
Gallo,Ecco Domani174 Pinot Grigio - 750ml Bottle,5.0,fantast white wine occas,My Favorite White Wine,fantast white wine occas favorit white wine ecco domani pinot grigio ml bottl gallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1,0
Fresh Craft Co.,Fresh Craft174 Mango Citrus - 4pk / 250ml Bottle,5.0,tart sweetveri refresh delici,Yum!!,tart sweetveri refresh delici yum fresh craft mango citru pk ml bottl fresh craft co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5574,1,0
1000 Stories,1000 Stories174 Zinfandel - 750ml Bottle,5.0,given wine delight surpris find flavor delici tast new favorit,A New Favorite!,given wine delight surpris find flavor delici tast new favorit new favorit stori zinfandel ml bottl stori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5994,1,0
1000 Stories,1000 Stories174 Zinfandel - 750ml Bottle,5.0,phenomen wine new favorit red,"Bold, Flavorful, Aromatic, Delicious",phenomen wine new favorit red bold flavor aromat delici stori zinfandel ml bottl stori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.3818,1,0
Wine Cube153,Pink Moscato - 3l Bottle - Wine Cube153,5.0,ml bottl price two way le packag ye plea nervou good true wouldnt like wine fantast go bit way get live near state line isnt sold state due liquor law worth,"Yum! Plus, Environmentally Friendly!",ml bottl price two way le packag ye plea nervou good true wouldnt like wine fantast go bit way get live near state line isnt sold state due liquor law worth yum plu environment friendli pink moscato l bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6694,1,0
Beck's Na,Beck's174 Non Alcoholic Beer - 6pk / 12oz Bottles,5.0,love beck na tast like regular ale smell like one tast great na drink friend love great head pour,Great Taste,love beck na tast like regular ale smell like one tast great na drink friend love great head pour great tast beck non alcohol beer pk oz bottl beck na,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.9833,1,1
Gallo,Apothic174 Red Blend - 750ml Bottle,2.0,would give one star came clean bottl call sweet red instead get poetic grandios blend standard practic get dash grape juic concentr sweeten also loo star price rather look side target shelv pickup lambrusco le,A Sweet Red.,would give one star came clean bottl call sweet red instead get poetic grandios blend standard practic get dash grape juic concentr sweeten also loo star price rather look side target shelv pickup lambrusco le sweet red apoth red blend ml bottl gallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8271,0,0
California Roots,California Roots Moscato White Wine - 750ml,5.0,delici afford,,delici afford california root moscato white wine ml california root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1,0
Charles Charles,Charles Charles174 Red Blend - 750ml Bottle,5.0,smooth red aroma cocoa coffe tobacco sweet black cherri bold soft highli recommend one,Charles & Charles Red Blend,smooth red aroma cocoa coffe tobacco sweet black cherri bold soft highli recommend one charl charl red blend charl charl red blend ml bottl charl charl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.7964,1,0
Fancy Pants,Fancy Pants174 Sauvignon Blanc - 750ml Bottle,5.0,base posit review serv fanci pant varieti recent parti guest love sinc wine expert provid detail varieti fanci pant websit like sunshin glass brisk bright invit citru melon passion fruit aroma lead mouthwat grapefruit zesti lime flavor hint miner palat vibrant acid crisp clean finish make wine versatil partner wide rang foodsespeci succul seafood mediterraneanstyl grill veget salad serv well chill sauvignon blanc fun friendlyth perfect pour sunni afternoon picnic,This Wine Made My Party!,base posit review serv fanci pant varieti recent parti guest love sinc wine expert provid detail varieti fanci pant websit like sunshin glass brisk bright invit citru melon passion fruit aroma lead mouthwat grapefruit zesti lime flavor hint miner palat vibrant acid crisp clean finish make wine versatil partner wide rang foodsespeci succul seafood mediterraneanstyl grill veget salad serv well chill sauvignon blanc fun friendlyth perfect pour sunni afternoon picnic wine made parti fanci pant sauvignon blanc ml bottl fanci pant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9806,1,1
Martini Rossi,Martini Rossi174 Asti Spumante Sparkling Wine - 750ml Bottle,5.0,nice fruiti sweet take sparkl wine goe great mimosa tri see like even guy would enjoy wed,Nice Sparkling Wine Compared To Champagne,nice fruiti sweet take sparkl wine goe great mimosa tri see like even guy would enjoy wed nice sparkl wine compar champagn martini rossi asti spumant sparkl wine ml bottl martini rossi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9545,1,1
603 Brewery,603174 Winni Amber Ale - 6pk / 12oz Cans,5.0,rich amber ale subtl notic hop charact great beer pair food,Great Nh Beer!,rich amber ale subtl notic hop charact great beer pair food great nh beer winni amber ale pk oz can breweri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9432,1,1
603 Brewery,603174 White Peaks Ipa - 6pk / 12oz Cans,5.0,light bodi ipa dri hop cascad bold bright hp aroma balanc refresh crisp ale great cookout day beach love,Dry-Hopped Ipa!,light bodi ipa dri hop cascad bold bright hp aroma balanc refresh crisp ale great cookout day beach love dryhop ipa white peak ipa pk oz can breweri,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.93,1,1
603 Brewery,603174 White Peaks Ipa - 6pk / 12oz Cans,5.0,light bodi ipa dri hop cascad bold bright hp aroma balanc refresh crisp ale great cookout day beach love,Dry-hopped Ipa!,light bodi ipa dri hop cascad bold bright hp aroma balanc refresh crisp ale great cookout day beach love dryhop ipa white peak ipa pk oz can breweri,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.93,1,1
Coppola,Sofia Coppola174 Riesling - 750ml Bottle,5.0,great perfect summer day get togeth girl,Lovely! Try It!,great perfect summer day get togeth girl love tri sofia coppola riesl ml bottl coppola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9186,1,1
California Roots,California Roots Pinot Grigio White Wine - 750ml,2.0,im sure bad bottl intent made effervesc dont want bubbl drink pinot grigio goe well mozzarella string chees cinemasin,Fizzy Pinot Grigio?,im sure bad bottl intent made effervesc dont want bubbl drink pinot grigio goe well mozzarella string chees cinemasin fizzi pinot grigio california root pinot grigio white wine ml california root,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0829,0,1
Sancho Libre,Sancho Libre174 Peach - 4pk / 12oz Cans,5.0,ob new drinkhowev sold everi target late,Obsessed,ob new drinkhowev sold everi target late ob sancho libr peach pk oz can sancho libr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1,0
Modern House Wines,Modern House174 With Love Red Blend - 750ml Bottle,5.0,excel red wine dri real sweet red blend great go anyth anytim right price point known brand market,Great Wine,excel red wine dri real sweet red blend great go anyth anytim right price point known brand market great wine modern hous love red blend ml bottl modern hous wine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9607,1,1
Estancia,Estancia174 Cabernet Sauvignon - 750ml Bottle,5.0,one best cabernet quit sometim,Excellent Cab......!!!!!!!,one best cabernet quit sometim excel cab estancia cabernet sauvignon ml bottl estancia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.802,1,0
VOGA Italia,Voga Italia174 Pinot Grigio - 750ml Bottle,5.0,great buy price someon given bottl like look much didnt want open idea nice price easili avail final open bind need white wine favorit holiday recip hand nice smooth pinot nice flavor pleasur palat especi love brand howev bottl screw black top smaller neck cork closur beauti black cap design reseal bottl without cork need squeez back ina realli thought design almost hate admit much impress stop target specif buy hous highli recommend,Highly Recommended,great buy price someon given bottl like look much didnt want open idea nice price easili avail final open bind need white wine favorit holiday recip hand nice smooth pinot nice flavor pleasur palat especi love brand howev bottl screw black top smaller neck cork closur beauti black cap design reseal bottl without cork need squeez back ina realli thought design almost hate admit much impress stop target specif buy hous highli recommend highli recommend voga italia pinot grigio ml bottl voga italia,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.98,1,1
Michelob Ultra,Michelob174 Ultra Light Cider Beer - 6pk / 12oz Bottles,5.0,gluten free plu lower calori plu refresh,Michelob Ultra Light Cider,gluten free plu lower calori plu refresh michelob ultra light cider michelob ultra light cider beer pk oz bottl michelob ultra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.2732,1,0
Wine Cube153,Cabernet Shiraz - 3l Bottle - Wine Cube153,5.0,best bunch wine cube sku target wine buyer plea bring back,Please Don't Discontinue This Flavor Combination!,best bunch wine cube sku target wine buyer plea bring back plea dont discontinu flavor combin cabernet shiraz l bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6369,1,0
Risata,Risata174 Moscato D'asti - 750ml Bottle,5.0,tri share moscato asti smoothest ever tri sweet fizzi perfect got pretti bottl surpris tast tri wont disappoint,Could Not Believe The Taste,tri share moscato asti smoothest ever tri sweet fizzi perfect got pretti bottl surpris tast tri wont disappoint could believ tast risata moscato dasti ml bottl risata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8795,1,0
Barefoot,Barefoot174 Refresh Perfectly Pink - 750ml Bottle,5.0,highli highli recommend sweet syrupi right love bubbl dont mix wine seltzer anymor,My New Fave!,highli highli recommend sweet syrupi right love bubbl dont mix wine seltzer anymor new fave barefoot refresh perfectli pink ml bottl barefoot,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9118,1,1
Tecate,Tecate174 Beer - 12pk / 12oz Bottles,5.0,favorit bottl design best cheap lager,,favorit bottl design best cheap lager tecat beer pk oz bottl tecat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6369,1,0
Bud Light,Bud Light174 Raz-Ber-Rita - 12pk / 8oz Cans,5.0,delici hate flavor one tast great find store,,delici hate flavor one tast great find store bud light razberrita pk oz can bud light,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1027,1,1
California Roots,California Roots Cabernet Sauvignon Red Wine - 750ml,5.0,wine amaz im avid wine drinker mom life ill continu buy sure steal keep around plea anoth reason love target,Who Can Say No To Awesome $5 Wine,wine amaz im avid wine drinker mom life ill continu buy sure steal keep around plea anoth reason love target say awesom wine california root cabernet sauvignon red wine ml california root,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4019,1,1
Middle Sister,Middle Sister174 Red Blend - 750ml Bottle,5.0,love dri overli sweet also good balanc alcohol,Good Wine For Beginners...,love dri overli sweet also good balanc alcohol good wine beginn middl sister red blend ml bottl middl sister,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9186,1,1
Robert Mondavi Winery,Robert Mondavi Private Selection174 Bourbon Cabernet Sauvignon - 750ml Bottle,5.0,wine sooooo good usual dont like cabernet special ferment wine tasti stay around longlol,Fantastic Wine,wine sooooo good usual dont like cabernet special ferment wine tasti stay around longlol fantast wine robert mondavi privat select bourbon cabernet sauvignon ml bottl robert mondavi wineri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.12,1,0
Wine Cube153,Riesling - 3l Bottle - Wine Cube153,5.0,best box wine ever tast great tast great valu,The Cube Riesling,best box wine ever tast great tast great valu cube riesl riesl l bottl wine cube wine cube,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9246,1,1
Risata,Risata174 Pink Moscato - 750ml Bottle,5.0,love moscato purchas next target run let chill fridg enjoy hot summer day,Perfect For Summer,love moscato purchas next target run let chill fridg enjoy hot summer day perfect summer risata pink moscato ml bottl risata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9022,1,1
Middle Sister,Middle Sister174 Moscato - 750ml Bottle,4.0,sissi sistafriend dinnerplan meetingand theyr still talk love fellowship great wine hope store bottl left shelv,We Loved It!,sissi sistafriend dinnerplan meetingand theyr still talk love fellowship great wine hope store bottl left shelv love middl sister moscato ml bottl middl sister,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9468,1,1
Love Noir,Love Noir174 Ros233 - 750ml Bottle,5.0,great fruiti dri rose,Yum!,great fruiti dri rose yum love noir ro ml bottl love noir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.926,1,1
Handsome Devil,Handsome Devil174 Malbec - 750ml Bottle,5.0,greatest wine world cours emin drinkabl winea matter fact prefer go tabl wine wine person thing pick categori well balanc subtl easi sip dri without overpow big bad cabernet good way goe great pair chees dish sauc someth heavier like bernais alway bottl shelf,An Outstanding Table Wine,greatest wine world cours emin drinkabl winea matter fact prefer go tabl wine wine person thing pick categori well balanc subtl easi sip dri without overpow big bad cabernet good way goe great pair chees dish sauc someth heavier like bernais alway bottl shelf outstand tabl wine handsom devil malbec ml bottl handsom devil,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.8381,1,1
Apothic,Apothic174 White Blend - 750ml Bottle,5.0,delici white wine light crisp sweet almost good,New Go To White,delici white wine light crisp sweet almost good new go white apoth white blend ml bottl apoth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6815,1,0
Wine Cube153,Pinot Noir - 3l Bottle - Wine Cube153,1.0,bad wine worst ever tri bota box sarah look decent box wine,No No No No No.... No,bad wine worst ever tri bota box sarah look decent box wine pinot noir l bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.8225,0,1
Love Noir,Love Noir174 Pinot Noir - 750ml Bottle,5.0,wine expert mean love good red dinner cold night ticket rich dark fruiti love hubbi like,Love This Love Noir,wine expert mean love good red dinner cold night ticket rich dark fruiti love hubbi like love love noir love noir pinot noir ml bottl love noir,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.9884,1,1
Promisqous,Promisqous174 Red Blend - 750ml Bottle,5.0,best wine ever tast,Best Wine I Ever Tasted,best wine ever tast best wine ever tast promisq red blend ml bottl promisq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8555,1,0
Wine Cube153,Chardonnay - 3l Bottle - Wine Cube153,5.0,fruiti satisfi go chardonnay excel product would expect pay bottl qualiti,Excellent Chardonnay,fruiti satisfi go chardonnay excel product would expect pay bottl qualiti excel chardonnay chardonnay l bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6808,1,0
Wine Cube153,Red Blend - 500ml Bottle - Wine Cube153,5.0,pick trip beach portabl non breakabl price right didnt know expect honestli expect high box wine pleasantli surpris drinkabl delici got home return target get larg wine cube box home enjoy,Vintner's Red Boxed Wine,pick trip beach portabl non breakabl price right didnt know expect honestli expect high box wine pleasantli surpris drinkabl delici got home return target get larg wine cube box home enjoy vintner red box wine red blend ml bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.4939,1,0
Wine Cube153,Sauvignon Blanc - 3l Bottle - Wine Cube153,5.0,far best box wine ive found compar mediumpr bottl sauvignon blanc great buy,Great Sauvignon Blanc Even Compared To Medium-Priced Bottles,far best box wine ive found compar mediumpr bottl sauvignon blanc great buy great sauvignon blanc even compar mediumpr bottl sauvignon blanc l bottl wine cube wine cube,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9246,1,1
Wine Cube153,Sauvignon Blanc - 3l Bottle - Wine Cube153,5.0,far best box wine ive found compar mediumpr bottl sauvignon blanc great buy,Great Sauvignon Blanc Even Compared To Medium-priced Bottles,far best box wine ive found compar mediumpr bottl sauvignon blanc great buy great sauvignon blanc even compar mediumpr bottl sauvignon blanc l bottl wine cube wine cube,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9246,1,1
California Roots,California Roots Chardonnay White Wine - 750ml,2.0,tast absolut fine chardonnay howev bottl broke remov corkscrew second break far enough didnt want risk drink risk glass shard ive bought cheaper wine like yellowtail etc never experienc bottl break,,tast absolut fine chardonnay howev bottl broke remov corkscrew second break far enough didnt want risk drink risk glass shard ive bought cheaper wine like yellowtail etc never experienc bottl break california root chardonnay white wine ml california root,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.4416,0,1
California Roots,California Roots Chardonnay White Wine - 750ml,4.0,didnt find sweet everyon tast differ usual dont like sweet wine gravit toward chardonnay sauvignon blanc felt like one butteri tast sweet citrusi tast like anoth review state price definit keeper,Great Wine For The Price.,didnt find sweet everyon tast differ usual dont like sweet wine gravit toward chardonnay sauvignon blanc felt like one butteri tast sweet citrusi tast like anoth review state price definit keeper great wine price california root chardonnay white wine ml california root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.7697,1,0
Wine Cube153,Red Blend - 3l Bottle - Wine Cube153,5.0,boyfriend brought home whim delight tasti last u coupl week even better,Love It!,boyfriend brought home whim delight tasti last u coupl week even better love red blend l bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.9001,1,0
Disaronno,Disaronno174 Almond Liqueur - 750ml Bottle,4.0,love disaronno smooth textur flavor lightli sweet decad rock littl cream,Delicious!,love disaronno smooth textur flavor lightli sweet decad rock littl cream delici disaronno almond liqueur ml bottl disaronno,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.802,1,1
Wine Cube153,Pinot Grigio - 500ml Bottle - Wine Cube153,5.0,im surpris good price tast like sauvignon blanc,Great For The Price,im surpris good price tast like sauvignon blanc great price pinot grigio ml bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8591,1,0
